period,year,month,is_winter,btc_model,etc_model,btc_units,etc_units,btc_unit_hash,etc_unit_hash,btc_unit_hash_unit,etc_unit_hash_unit,btc_unit_power_w,etc_unit_power_w,btc_coins_mined,etc_coins_mined,btc_revenue_accrual,etc_revenue_accrual,btc_kwh,etc_kwh,btc_power_cost,etc_power_cost,btc_cash_sales,etc_cash_sales
2025-10-01,2025,10,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.027621,87.1563264,3452.625,2091.7518336,15624.0,5505.599999999999,1265.544,445.9536,0.0,0.0
2025-11-01,2025,11,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.02673,84.344832,3341.25,2024.275968,15120.0,5328.0,1224.72,431.56800000000004,0.0,0.0
2025-12-01,2025,12,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.027621,87.1563264,3452.625,2091.7518336,15624.0,5505.599999999999,1265.544,445.9536,0.0,0.0
2026-01-01,2026,1,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.027621,87.1563264,3452.625,2091.7518336,15624.0,5505.599999999999,1265.544,445.9536,0.0,0.0
2026-02-01,2026,2,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.024947999999999998,78.7218432,3118.4999999999995,1889.3242367999999,14112.0,4972.8,1143.0720000000001,402.7968,0.0,0.0
2026-03-01,2026,3,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.027621,87.1563264,3452.625,2091.7518336,15624.0,5505.599999999999,1265.544,445.9536,0.0,0.0
2026-04-01,2026,4,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.02673,84.344832,3341.25,2024.275968,15120.0,5328.0,1224.72,431.56800000000004,0.0,0.0
2026-05-01,2026,5,False,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01,2026,6,False,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-01,2026,7,False,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,2026,8,False,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-01,2026,9,False,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-10-01,2026,10,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.027621,87.1563264,3452.625,2091.7518336,15624.0,5505.599999999999,1265.544,445.9536,3452.625,2091.7518336
2026-11-01,2026,11,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.02673,84.344832,3341.25,2024.275968,15120.0,5328.0,1224.72,431.56800000000004,3341.25,2024.275968
2026-12-01,2026,12,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.027621,87.1563264,3452.625,2091.7518336,15624.0,5505.599999999999,1265.544,445.9536,3452.625,2091.7518336
2027-01-01,2027,1,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.027621,87.1563264,3452.625,2091.7518336,15624.0,5505.599999999999,1265.544,445.9536,3452.625,2091.7518336
2027-02-01,2027,2,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.024947999999999998,78.7218432,3118.4999999999995,1889.3242367999999,14112.0,4972.8,1143.0720000000001,402.7968,3118.4999999999995,1889.3242367999999
2027-03-01,2027,3,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.027621,87.1563264,3452.625,2091.7518336,15624.0,5505.599999999999,1265.544,445.9536,3452.625,2091.7518336
2027-04-01,2027,4,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.02673,84.344832,3341.25,2024.275968,15120.0,5328.0,1224.72,431.56800000000004,3341.25,2024.275968
2027-05-01,2027,5,False,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-06-01,2027,6,False,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-07-01,2027,7,False,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-08-01,2027,8,False,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-09-01,2027,9,False,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-10-01,2027,10,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.027621,87.1563264,3452.625,2091.7518336,15624.0,5505.599999999999,1265.544,445.9536,3452.625,2091.7518336
2027-11-01,2027,11,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.02673,84.344832,3341.25,2024.275968,15120.0,5328.0,1224.72,431.56800000000004,3341.25,2024.275968
2027-12-01,2027,12,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.027621,87.1563264,3452.625,2091.7518336,15624.0,5505.599999999999,1265.544,445.9536,3452.625,2091.7518336
2028-01-01,2028,1,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.027621,87.1563264,3452.625,2091.7518336,15624.0,5505.599999999999,1265.544,445.9536,3452.625,2091.7518336
2028-02-01,2028,2,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.025839,81.5333376,3229.875,1956.8001024,14616.0,5150.4,1183.896,417.1824,3118.4999999999995,1889.3242367999999
2028-03-01,2028,3,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.027621,87.1563264,3452.625,2091.7518336,15624.0,5505.599999999999,1265.544,445.9536,3452.625,2091.7518336
2028-04-01,2028,4,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.02673,84.344832,3341.25,2024.275968,15120.0,5328.0,1224.72,431.56800000000004,3341.25,2024.275968
2028-05-01,2028,5,False,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-06-01,2028,6,False,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-07-01,2028,7,False,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-08-01,2028,8,False,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-09-01,2028,9,False,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-10-01,2028,10,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.027621,87.1563264,3452.625,2091.7518336,15624.0,5505.599999999999,1265.544,445.9536,3452.625,2091.7518336
2028-11-01,2028,11,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.02673,84.344832,3341.25,2024.275968,15120.0,5328.0,1224.72,431.56800000000004,3341.25,2024.275968
2028-12-01,2028,12,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.027621,87.1563264,3452.625,2091.7518336,15624.0,5505.599999999999,1265.544,445.9536,3452.625,2091.7518336
2029-01-01,2029,1,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.027621,87.1563264,3452.625,2091.7518336,15624.0,5505.599999999999,1265.544,445.9536,3452.625,2091.7518336
2029-02-01,2029,2,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.024947999999999998,78.7218432,3118.4999999999995,1889.3242367999999,14112.0,4972.8,1143.0720000000001,402.7968,3229.875,1956.8001024
2029-03-01,2029,3,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.027621,87.1563264,3452.625,2091.7518336,15624.0,5505.599999999999,1265.544,445.9536,3452.625,2091.7518336
2029-04-01,2029,4,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.02673,84.344832,3341.25,2024.275968,15120.0,5328.0,1224.72,431.56800000000004,3341.25,2024.275968
2029-05-01,2029,5,False,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029-06-01,2029,6,False,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029-07-01,2029,7,False,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029-08-01,2029,8,False,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029-09-01,2029,9,False,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029-10-01,2029,10,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.027621,87.1563264,3452.625,2091.7518336,15624.0,5505.599999999999,1265.544,445.9536,3452.625,2091.7518336
2029-11-01,2029,11,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.02673,84.344832,3341.25,2024.275968,15120.0,5328.0,1224.72,431.56800000000004,3341.25,2024.275968
2029-12-01,2029,12,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.027621,87.1563264,3452.625,2091.7518336,15624.0,5505.599999999999,1265.544,445.9536,3452.625,2091.7518336
2030-01-01,2030,1,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.027621,87.1563264,3452.625,2091.7518336,15624.0,5505.599999999999,1265.544,445.9536,3452.625,2091.7518336
2030-02-01,2030,2,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.024947999999999998,78.7218432,3118.4999999999995,1889.3242367999999,14112.0,4972.8,1143.0720000000001,402.7968,3118.4999999999995,1889.3242367999999
2030-03-01,2030,3,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.027621,87.1563264,3452.625,2091.7518336,15624.0,5505.599999999999,1265.544,445.9536,3452.625,2091.7518336
2030-04-01,2030,4,True,s21,jasminer x4-q,6,20,200.0,1.04,TH/s,GH/s,3500.0,370.0,0.02673,84.344832,3341.25,2024.275968,15120.0,5328.0,1224.72,431.56800000000004,3341.25,2024.275968
