period,year,month,is_winter,btc_model,etc_model,btc_units,etc_units,btc_unit_hash,etc_unit_hash,btc_unit_hash_unit,etc_unit_hash_unit,btc_unit_power_w,etc_unit_power_w,btc_coins_mined,etc_coins_mined,btc_revenue_accrual,etc_revenue_accrual,btc_kwh,etc_kwh,btc_power_cost,etc_power_cost,btc_cash_sales,etc_cash_sales
2025-10-01,2025,10,True,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.03163162131555552,1.933771470013787e-07,3953.95266444444,4.641051528033089e-06,15909.696,5505.599999999999,1288.6853760000001,445.9536,0.0,0.0
2025-11-01,2025,11,True,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.030611246434408566,1.8713917451746327e-07,3826.405804301071,4.491340188419118e-06,15396.48,5328.0,1247.11488,431.56800000000004,0.0,0.0
2025-12-01,2025,12,True,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.03163162131555552,1.933771470013787e-07,3953.95266444444,4.641051528033089e-06,15909.696,5505.599999999999,1288.6853760000001,445.9536,0.0,0.0
2026-01-01,2026,1,True,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.03163162131555552,1.933771470013787e-07,3953.95266444444,4.641051528033089e-06,15909.696,5505.599999999999,1288.6853760000001,445.9536,0.0,0.0
2026-02-01,2026,2,True,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.02857049667211466,1.746632295496324e-07,3571.3120840143324,4.191917509191177e-06,14370.048,4972.8,1163.973888,402.7968,0.0,0.0
2026-03-01,2026,3,True,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.03163162131555552,1.933771470013787e-07,3953.95266444444,4.641051528033089e-06,15909.696,5505.599999999999,1288.6853760000001,445.9536,0.0,0.0
2026-04-01,2026,4,True,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.030611246434408566,1.8713917451746327e-07,3826.405804301071,4.491340188419118e-06,15396.48,5328.0,1247.11488,431.56800000000004,0.0,0.0
2026-05-01,2026,5,False,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01,2026,6,False,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-01,2026,7,False,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,2026,8,False,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-01,2026,9,False,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-10-01,2026,10,True,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.03163162131555552,1.933771470013787e-07,3953.95266444444,4.641051528033089e-06,15909.696,5505.599999999999,1288.6853760000001,445.9536,3953.95266444444,4.641051528033089e-06
2026-11-01,2026,11,True,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.030611246434408566,1.8713917451746327e-07,3826.405804301071,4.491340188419118e-06,15396.48,5328.0,1247.11488,431.56800000000004,3826.405804301071,4.491340188419118e-06
2026-12-01,2026,12,True,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.03163162131555552,1.933771470013787e-07,3953.95266444444,4.641051528033089e-06,15909.696,5505.599999999999,1288.6853760000001,445.9536,3953.95266444444,4.641051528033089e-06
2027-01-01,2027,1,True,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.03163162131555552,1.933771470013787e-07,3953.95266444444,4.641051528033089e-06,15909.696,5505.599999999999,1288.6853760000001,445.9536,3953.95266444444,4.641051528033089e-06
2027-02-01,2027,2,True,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.02857049667211466,1.746632295496324e-07,3571.3120840143324,4.191917509191177e-06,14370.048,4972.8,1163.973888,402.7968,3571.3120840143324,4.191917509191177e-06
2027-03-01,2027,3,True,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.03163162131555552,1.933771470013787e-07,3953.95266444444,4.641051528033089e-06,15909.696,5505.599999999999,1288.6853760000001,445.9536,3953.95266444444,4.641051528033089e-06
2027-04-01,2027,4,True,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.030611246434408566,1.8713917451746327e-07,3826.405804301071,4.491340188419118e-06,15396.48,5328.0,1247.11488,431.56800000000004,3826.405804301071,4.491340188419118e-06
2027-05-01,2027,5,False,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-06-01,2027,6,False,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-07-01,2027,7,False,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-08-01,2027,8,False,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-09-01,2027,9,False,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-10-01,2027,10,True,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.03163162131555552,1.933771470013787e-07,3953.95266444444,4.641051528033089e-06,15909.696,5505.599999999999,1288.6853760000001,445.9536,3953.95266444444,4.641051528033089e-06
2027-11-01,2027,11,True,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.030611246434408566,1.8713917451746327e-07,3826.405804301071,4.491340188419118e-06,15396.48,5328.0,1247.11488,431.56800000000004,3826.405804301071,4.491340188419118e-06
2027-12-01,2027,12,True,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.03163162131555552,1.933771470013787e-07,3953.95266444444,4.641051528033089e-06,15909.696,5505.599999999999,1288.6853760000001,445.9536,3953.95266444444,4.641051528033089e-06
2028-01-01,2028,1,True,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.03163162131555552,1.933771470013787e-07,3953.95266444444,4.641051528033089e-06,15909.696,5505.599999999999,1288.6853760000001,445.9536,3953.95266444444,4.641051528033089e-06
2028-02-01,2028,2,True,s21+,jasminer x4-q,6,20,235.0,1.04,TH/s,GH/s,3564.0,370.0,0.02959087155326161,1.8090120203354783e-07,3698.8589441577014,4.341628848805148e-06,14883.264000000001,5150.4,1205.544384,417.1824,3571.3120840143324,4.191917509191177e-06
